channel_1,wifi_name_1,speed_1,channel_2,wifi_name_2,speed_2,channel_3,wifi_name_3,speed_3,channel_4,wifi_name_4,speed_4
1~3,L_Technology_FB80(~2m) wi_gen(~4m) wi_gen(~22m) wi_gen(~35m) wi_gen(~44m) wi_gen(~62m),54 49 33 29 27 24,1~3,wi_gen(~1m) L_Tehcnology_FB80(~6m),59 45,1~3,wi_gen(~0m) wi_gen(~10m) L_Technology_FB80(~11m) wi_gen(~14m),71 40 39 37,1~3,wi_gen(~2m) wi_gen(~31m),53 30
4~7,L_Technology_B620(~12m),38,4~7,L_Technology_B620(~25m),32,4~7,L_Technology_B620(~10m),40,4~7,L_Technology_B620(~31m),30
8~10,Null,Null,8~10,Null,Null,8~10,Null,Null,8~10,Null,Null
11~14,Null,Null,11~14,wi_gen(~108m),19,11~14,Null,Null,11~14,Null,Null
36~42,wi_gen(~0m) wi_gen(~15m) wi_gen(~16m),64 30 29,36~42,wi_gen(~1m) wi_gen(~23m) wi_gen(~41m),57 26 21,36~42,wi_gen(~1m) wi_gen(~16m) wi_gen(~26m),52 29 25,36~42,wi_gen(~1m) wi_gen(~6m) wi_gen(~18m),59 38 28
43~49,Null,Null,43~49,Null,Null,43~49,Null,Null,43~49,Null,Null
50~64,wi_gen(~102m) wi_gen(~128m),13 11,50~64,Null,Null,50~64,Null,Null,50~64,wi_gen(~51m),19
100~147,Null,Null,100~147,Null,Null,100~147,Null,Null,100~147,Null,Null
148~164,L_Technology_FB90(~5m),38,148~164,L_Technology_FB90(~10m),32,148~164,L_Technology_FB90(~13m),30,148~164,L_Technology_FB90(~10m),32
148~156,wi_gen(~0m) wi_gen(~8m) wi_gen(~9m),66 34 33,148~156,wi_gen(~0m) wi_gen(~12m) wi_gen(~15m),61 31 29,148~156,wi_gen(~0m) wi_gen(~7m) wi_gen(~10m),62 35 32,148~156,wi_gen(~0m) wi_gen(~7m) wi_gen(~9m),67 35 33
